,news,type
0,"China had role in Yukos split-up
 
 China lent Russia $6bn (£3.2bn) to help the Russian government renationalise the key Yuganskneftegas unit of oil group Yukos, it has been revealed.""The two companies [Rosneft and CNPC] have agreed on the pre-payment for long-term deliveries,"" said Russian oil official Sergei Oganesyan.Reports said CNPC had been offered 20% of Yugansk in return for providing finance but the company opted for a long-term oil supply deal instead.",business
1,"Oil rebounds from weather effect
 
 Oil prices recovered in Asian trade on Tuesday, after falling in New York on milder winter weather across the US.With milder temperatures expected to continue in the northern parts of the US over the next few days at least, analysts have said the price of oil may fall further - even if the decline was only temporary.""The market was panicked but fears essentially evaporated... since there was no follow-up,"" said Deborah White, senior economist for energy at SG Securities in Paris.
",business
2,unicode error,business
3,"Despite receiving an email from Mr Van de Vijver which said the firm had ""fooled"" the market about its reserves, the investigation said, she did nothing to inquire further.$1m payoff for former Shell boss
 
 Shell is to pay $1m (£522,000) to the ex-finance chief who stepped down from her post in April 2004 after the firm over-stated its reserves.Judy Boynton finally left the firm on 31 December, having spent the intervening time as a special advisor to chief executive Jeroen van der Veer.",business
4,"Separately, the SEC said it had reached a $140m deal - equally split between penalties and compensation - in its probe into Columbia Management Advisors (CAM) and Columbia Funds Distributor (CFD) and three ex-Columbia executives.US bank in $515m SEC settlement
 
 Five Bank of America subsidiaries have agreed to pay a total of $515m (£277m) to settle an investigation into fraudulent trading share practices.The SEC's settlement with CAM and CFD included agreements with three other ex-managers, Peter Martin, Erik Gustafson and Joseph Palombo, who paid personal financial penalties of between $50-100,000.
",business
5,"Verizon 'seals takeover of MCI'
 
 Verizon has won a takeover battle for US phone firm MCI with a bid worth $6.8bn (£3.6bn), reports say.The US telecoms market is consolidating fast, with former long-distance giant AT&T being bought by former subsidiary SBC earlier this year for $16bn.Verizon is by far the bigger company and has its own successful mobile arm - factors which may have swung the board in its favour since both suitors are offering a mixture of cash and shares.
",business
6,"On Tuesday, the company's administrator, turnaround expert Enrico Bondi, sued Morgan Stanley, its former banker, to return 136m euros relating to a 2003 bond deal.Parmalat boasts doubled profits
 
 Parmalat, the Italian food group at the centre of one of Europe's most painful corporate scandals, has reported a doubling in profit.That brought to 49 the number of banks that Mr Bondi has sued, a mass of legal action that could bring in as much as 3bn euros.",business
7,"""It's pretty clear that they've suffered a severe setback,"" said Anthony Sebok, a professor at Brooklyn Law School, adding that the appeal was what the government ""would be expected to ask for"".US seeks new $280bn smoker ruling
 
 The US Justice Department is to try to overturn a court ruling that threw out its claim for $280bn (£149bn) in damages from tobacco firms.Prosecutors went after the companies using legislation put in place to fight organised crime, and accused the firms of conspiring and running ""Racketeer Influenced and Corrupt Organisations"".",business
8,"Steel firm 'to cut' 45,000 jobs
 
 Mittal Steel, one of the world's largest steel producers, could cut up to 45,000 jobs over the next five years, its chief executive has said.Mr Mittal told US investors that once the acquisition of International Steel Group was completed, the company would aim to reduce its workforce by between 7,000 and 8,000 annually.The Netherlands-based company is due to complete its $4.5bn acquisition of US firm ISG next month, making it one of the largest global firms of its kind.",business
9,"Cars pull down US retail figures
 
 US retail sales fell 0.3% in January, the biggest monthly decline since last August, driven down by a heavy fall in car sales.Steve Gallagher, US chief economist at SG Corporate & Investment Banking, said January's figures were ""decent numbers"".Excluding the car sector, US retail sales were up 0.6% in January, twice what some analysts had been expecting.",business
10,"The economy's poor performance in the July to September period followed four consecutive quarters of double-digit growth as Singapore bounced back strongly from the effects of the deadly Sars virus in 2003.
Singapore growth at 8.1% in 2004
 
 Singapore's economy grew by 8.1% in 2004, its best performance since 2000, figures from the trade ministry show.However, a slower-than-expected fourth quarter points to more modest growth for the trade-driven economy in 2005 as global technology demand falls back.",business
11,"UK bank seals South Korean deal
 
 UK-based bank Standard Chartered said it would spend $3.3bn (£1.8bn) to buy one of South Korea's main retail banks.Standard Chartered said KFB was a ""well-managed, conservatively run bank with a highly skilled workforce"" and represented a ""significant acquisition in a growth market"".The move, a year after Citigroup beat Standard Chartered to buy Koram bank, would be the South Korean financial sector's biggest foreign takeover.",business
12,"ECB holds rates amid growth fears
 
 The European Central Bank has left its key interest rate unchanged at 2% for the 19th month in succession.Borrowing costs have remained on hold amid concerns about the strength of economic growth in the 12 nations sharing the euro, analysts said.Surveys of economists have shown that the majority expect borrowing costs to stay at 2% in coming months, with an increase of a quarter of a percentage point predicted some time in the second half of the year.",business
13,"Since Mike Smith's appointment as chief executive in 1999, the group has focused on fewer businesses and embarked on a major cost-cutting programme which has seen it dispose of a number of businesses, including the Odeon cinema chain and the Pinewood studios.Rank 'set to sell off film unit'
 
 Leisure group Rank could unveil plans to demerge its film services unit and sell its media business, reports claim.The move left the group with three core divisions: gaming, Hard Rock and Deluxe Films, which provides technical services to Hollywood studios.",business
14,"Kathleen Utgoff, commissioner of the Bureau of Labor, said many of the 71,000 new construction jobs added in October were involved in rebuilding and clean-up work in Florida, and neighbouring Deep South states, following four hurricanes in August and September.The dollar rose temporarily on the job creation news before falling back to a new record low against the euro, as investors returned their attention to other economic factors, such as the US's record trade deficit.""It looks like the job situation is improving and that this will support consumer spending going into the holidays, and offset some of the drag caused by high oil prices this year,"" said economist Gary Thayer of AG Edwards & Sons.",business
15,unicode error,business
16,"""Even people in social class V [unskilled manual workers] who are widely likely to have the lowest life expectancy can still expect to live 16 years after state pension age,"" he said.Pension hitch for long-living men
 
 Male life expectancy is much higher than originally estimated, leading pension researchers have said.But if measured at age 65 instead, the PPI said, a manual worker will live to 81 years and a professional worker to 86 years - a gap of just five years.",business
17,"Asian quake hits European shares
 
 Shares in Europe's leading reinsurers and travel firms have fallen as the scale of the damage wrought by tsunamis across south Asia has become apparent.Germany's benchmark Dax index closed the day 16.29 points lower at 3.817.69 while France's Cac index of leading shares fell 5.07 points to 3.817.69.The unfolding scale of the disaster in south Asia had little immediate impact on US shares, however.",business
18,"Honda wins China copyright ruling
 
 Japan's Honda has won a copyright case in Beijing, further evidence that China is taking a tougher line on protecting intellectual property rights.A court ruled that Chongqing Lifan Industry Group must stop selling Honda brand motorbikes and said it must pay 1.47m yuan ($177,600) in compensation.Between 1998 and 2002, the number of counterfeit or pirated goods intercepted at the EU's external borders increased by more than 800%, it said.",business
19,"Last month, Bank of England governor Mervyn King said that the economy had hit a ""softer patch"" after rapid economic growth in the first half of 2004.""There have been sufficient signs in the economy of a slowdown to stay the Bank of England's hand,"" he told BBC Radio 4's Today programme.Bank set to leave rates on hold
 
 UK interest rates are set to remain on hold at 4.75% following the latest meeting of the Bank of England.",business
20,unicode error,business
21,"Second and third on the agency's list were two power stations being built at the $22bn Three Gorges Dam project on the central Yangtze - an underground 4,200 MW power plant and a 100 MW plant.China suspends 26 power projects
 
 China has ordered a halt to construction work on 26 big power stations, including two at the Three Gorges Dam, on environmental grounds.In April 2004, central government officials ordered a halt to work on the nearby Nu River, which is part of a United Nations world heritage site, the Three Parallel Rivers site which covers the Yangtze, Mekong and Nu (also known as the Salween), according to the UK-published China Review.",business
22,unicode error,business
23,"Mr Sullivan ""made accounting decisions,"" he told the federal court, saying his finance chief had ""a keen command of the numbers"".During his time on the witness stand Mr Sullivan repeatedly told jurors he met frequently with Mr Ebbers, told him about changes made to WorldCom's accounts to hide costs and had warned him such practises were improper.Ebbers denies WorldCom fraud
 
 Former WorldCom chief Bernie Ebbers has denied claims that he knew accountants were doctoring the books at the firm.",business
24,"Oil prices fall back from highs
 
 Oil prices retreated from four-month highs in early trading on Tuesday after producers' cartel Opec said it was now unlikely to cut production.Following the comments by acting Opec secretary general Adnan Shihab-Eldin, US light crude fell 32 cents to $51.43 a barrel.On Monday, oil prices rose for a sixth straight session, reaching a four-month high as cold weather in the US threatened stocks of heating oil.",business
